filename	lines	domain	type	project	destination	confidence	ai_hint
Github Access Token For ChatGPT Asset Creation-.md	62	creative-studio|life-systems	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	Github Access Token For ChatGPT Asset Creation:
Github And Hugging Face MCP.md	8	claude-mastery	unknown		40_knowledge/references/	MEDIUM	Github And Hugging Face MCP
Github Copilot Response to error-.md	73	creative-studio|product-management	reference		40_knowledge/references/	MEDIUM	Github Copilot Response to error:
Github Login.md	3	unclassified	unknown		00_inbox/	LOW	Github Login
Give me a list of 100 app and website ideas for that incorporates….md	13	creative-studio|product-management	list		50_sources/data/	HIGH	Give me a list of 100 app and website ideas for that incorporates…
Give prototype to Gemini and give access to GitHub.md	4	claude-mastery|life-systems	project-material		40_knowledge/references/	HIGH	Give prototype to Gemini and give access to GitHub
Go through all of the files within this folder- Any file name that….md	3	product-management|life-systems	ai-prompt		60_archive/apple-notes-prompts/	MEDIUM	Go through all of the files within this folder. Any file name that…
Go with option A) Search for remaining files with outdated references….md	183	creative-studio|life-systems|claude-mastery	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	Go with option A) Search for remaining files with outdated references…
Google Gemini Deep Think Prompts for 16BitFit Animation Specifications.md	490	creative-studio|claude-mastery|design-team	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Google Gemini Deep Think Prompts for 16BitFit Animation Specifications
Google Vertex - Up Project Info.md	7	creative-studio	unknown		40_knowledge/references/	MEDIUM	Google Vertex - Up Project Info
Google certificates.md	4	creative-studio	unknown		40_knowledge/references/	MEDIUM	Google certificates
Gourmet Lines.md	3	life-systems	unknown		00_inbox/	MEDIUM	Gourmet Lines
Great question — this is a common Veo 3-1 quirk, especially for emotional….md	37	creative-studio	project-material		40_knowledge/references/	HIGH	Great question — this is a common Veo 3.1 quirk, especially for emotional…
Groceries.md	4	unclassified	unknown		00_inbox/	LOW	Groceries
Grocery Thanksgiving.md	10	life-systems	unknown		00_inbox/	MEDIUM	Grocery Thanksgiving
Group Of Guys Laughing.md	4	creative-studio	unknown		40_knowledge/references/	MEDIUM	Group Of Guys Laughing
Gym.md	3	life-systems	unknown		00_inbox/	MEDIUM	Shoulder press 40 and 25, 45 and 30
H264 1280x720.md	5	unclassified	unknown		00_inbox/	LOW	H264 1280x720
HELLOPM Job Searches and LinkedIn leverage-.md	13	life-systems	unknown		00_inbox/	MEDIUM	HELLOPM Job Searches and LinkedIn leverage:
HELLOPM Presentation notes.md	4	life-systems	unknown		00_inbox/	MEDIUM	HELLOPM Presentation notes
HEROES OF THE CITY IDEAS.md	117	creative-studio	personal		60_archive/apple-notes-personal/	MEDIUM	HEROES OF THE CITY IDEAS
HOMEWORK FOR 2-4.md	19	creative-studio	idea		00_inbox/	MEDIUM	HOMEWORK FOR 2/4
Halloween-Role play costumes.md	3	unclassified	unknown		00_inbox/	LOW	Halloween/Role play costumes
Have Claude code read website workflow and master prompt to make sure….md	554	design-team|creative-studio|product-management	project-material	campus-201	20_projects/prj-campus-201/	HIGH	Have Claude code read website workflow and master prompt to make sure…
Have another angle - Learn pages don’t have views — have a backup….md	13	product-management|life-systems	project-material	campus-201	20_projects/prj-campus-201/	HIGH	Have another angle - Learn pages don’t have views — have a backup…
Have chat got write a script for you that makes sure Claude always….md	6	claude-mastery|creative-studio|product-management	ai-prompt		40_knowledge/references/	HIGH	Have chat got write a script for you that makes sure Claude always…
Have jimmy say “hey… shut up” in a funny voice as the ambulance driver….md	3	unclassified	unknown		00_inbox/	LOW	Have jimmy say “hey… shut up” in a funny voice as the ambulance driver…
Head — hair texture- Head portrait, adult male with tightly‑coiled….md	4	creative-studio	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	Head — hair texture: Head portrait, adult male with tightly‑coiled…
Hello dog story beats.md	10	unclassified	personal		60_archive/apple-notes-personal/	MEDIUM	Hello dog story beats
HelloPM Notes 5-31 - Week 1.md	30	product-management|life-systems|claude-mastery	idea		00_inbox/	MEDIUM	HelloPM Notes 5/31 - Week 1
HelloPM Notes 6-1 - Week 1 - Day 2.md	18	life-systems	reference		40_knowledge/references/	MEDIUM	HelloPM Notes 6/1 - Week 1 - Day 2
HelloPM assignment 1.md	82	life-systems|product-management|design-team	idea		00_inbox/	HIGH	HelloPM assignment 1
Help me come up with a prompt for Nano banana pro that would allow….md	3	creative-studio	ai-prompt		60_archive/apple-notes-prompts/	MEDIUM	Help me come up with a prompt for Nano banana pro that would allow…
Helpdesk.md	10	unclassified	unknown		00_inbox/	LOW	Helpdesk
Here's the code for Chatscreen-js- -- src-screens-ChatScreen-js.md	406	creative-studio|claude-mastery|life-systems	code-snippet		40_knowledge/references/	HIGH	Here's the code for Chatscreen.js: // src/screens/ChatScreen.js
Hey @Yermek Smagulov I apologize for the delay- I was going through….md	15	product-management	unknown		40_knowledge/references/	MEDIUM	Hey @Yermek Smagulov I apologize for the delay. I was going through…
Hey Abbey,.md	9	unclassified	project-material		40_knowledge/references/	MEDIUM	Hey Abbey,
Hey Cesar, I just requested to install an app called Connector for….md	3	product-management	unknown		40_knowledge/references/	MEDIUM	Hey Cesar, I just requested to install an app called Connector for…
Hey Claudine,.md	16	product-management|creative-studio	personal	campus-201	20_projects/prj-campus-201/	MEDIUM	Hey Claudine,
Hey Etryesse,.md	9	unclassified	unknown		00_inbox/	LOW	Hey Etryesse,
Hey Jason,.md	4	unclassified	personal		60_archive/apple-notes-personal/	MEDIUM	Hey Jason,
Hey KG,.md	7	unclassified	idea		00_inbox/	MEDIUM	Hey KG,
Hey Roni,.md	7	creative-studio|life-systems	unknown		40_knowledge/references/	MEDIUM	Hey Roni,
Hey Serena! Ed asked me to write out some implementation tickets for….md	3	product-management	project-material		40_knowledge/references/	HIGH	Hey Serena! Ed asked me to write out some implementation tickets for…
Hey Winston, please review the updated docs-prd-md and the docs-Synthesis….md	26	product-management|design-team	project-material		40_knowledge/references/	HIGH	Hey Winston, please review the updated docs/prd.md and the docs/Synthesis…
Hey everyone, I’ve extracted the info from our meetings and working….md	9	product-management|claude-mastery	reference	campus-201	20_projects/prj-campus-201/	HIGH	Hey everyone, I’ve extracted the info from our meetings and working…
Hey have a task for you for next week - For Job boards we need to….md	10	product-management|life-systems	list		50_sources/data/	HIGH	Hey have a task for you for next week - For Job boards we need to…
Hey hey! I'm doing the VO replacement, should finish by tomorrow with….md	5	product-management|creative-studio|life-systems	idea	campus-201	20_projects/prj-campus-201/	MEDIUM	Hey hey! I'm doing the VO replacement, should finish by tomorrow with…
Hey lil.md	3	product-management	unknown	campus-201	20_projects/prj-campus-201/	MEDIUM	Hey lil
Hey ———.md	10	claude-mastery|life-systems	reference		40_knowledge/references/	MEDIUM	Hey ———
Hey, how’s it going Mark! I got your email and I noticed it was urgent….md	5	unclassified	unknown		00_inbox/	LOW	Hey, how’s it going Mark! I got your email and I noticed it was urgent…
Hey.md	10	life-systems	idea		00_inbox/	MEDIUM	Hope all is well! I’ve applied to the Media Investment Associate position at Tinuiti, so I wanted to reach out and intro
Hi Sean,.md	8	product-management	ai-prompt	campus-201	20_projects/prj-campus-201/	MEDIUM	Hi Sean,
Hi Sean- I see your screen and I'm ready to guide you- It looks like….md	73	product-management|life-systems	reference		40_knowledge/references/	HIGH	Hi Sean. I see your screen and I'm ready to guide you. It looks like…
Hi Winston,.md	20	creative-studio|product-management|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Hi Winston,
Hire by mid march or end of march.md	14	life-systems|product-management	unknown		00_inbox/	MEDIUM	Hire by mid march or end of march
Homepage image idea-.md	15	creative-studio	idea		00_inbox/	HIGH	Homepage image idea:
House-Beer Payments.md	13	unclassified	unknown		00_inbox/	LOW	House/Beer Payments
How Long Have You Been With The Company, What Was It Like Coming To….md	6	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	How Long Have You Been With The Company, What Was It Like Coming To…
How prerequisite support would work.md	8	product-management	personal		60_archive/apple-notes-personal/	MEDIUM	How prerequisite support would work
How to find Metro terminal output.md	32	creative-studio|claude-mastery	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	How to find Metro terminal output
Hub - many things coming together - Job boards - gamification —.md	3	unclassified	project-material	campus-201	20_projects/prj-campus-201/	MEDIUM	Hub - many things coming together - Job boards - gamification —
HubSpot interview Achievements Admin.md	144	life-systems|product-management|claude-mastery	personal	boston-move	20_projects/prj-boston-move/	HIGH	HubSpot interview Achievements Admin
Hubspot Questions Answered-.md	145	life-systems	project-material		40_knowledge/references/	MEDIUM	Hubspot Questions Answered:
Hubspot customer service questions.md	3	unclassified	unknown		00_inbox/	LOW	Hubspot customer service questions
Hubspot inbound sales.md	14	unclassified	reference		40_knowledge/references/	MEDIUM	Hubspot inbound sales
Hubspot intv.md	62	life-systems|product-management	personal	boston-move	20_projects/prj-boston-move/	HIGH	Hubspot intv
Hulu.md	3	unclassified	unknown		00_inbox/	LOW	Sean.winslow28@gmail.com
I absolutely love this persons website- https---nicktarasov-com-.md	34	creative-studio|claude-mastery|life-systems	personal	16bitfit	20_projects/prj-16bitfit/	MEDIUM	I absolutely love this persons website: https://nicktarasov.com/
I agree- Let’s go with your recommendation.md	11	creative-studio|life-systems	list		50_sources/data/	MEDIUM	I agree. Let’s go with your recommendation
I also have access to context7 and firecrawl MCP- I also run supabase….md	10	claude-mastery	project-material		40_knowledge/references/	HIGH	I also have access to context7 and firecrawl MCP. I also run supabase…
I am building atomic components for 16BitFit, a React Native fitness….md	429	creative-studio|claude-mastery|design-team	code-snippet	16bitfit	20_projects/prj-16bitfit/	HIGH	I am building atomic components for 16BitFit, a React Native fitness…
I apologize and I completely understand your frustrations- A 20- increase….md	5	unclassified	unknown		00_inbox/	LOW	I apologize and I completely understand your frustrations. A 20% increase…
I cannot show you the exact file path to Claude Code's.md	24	claude-mastery|creative-studio	project-material	superuser-pack	20_projects/prj-superuser-pack/	MEDIUM	I cannot show you the exact file path to Claude Code's
I have access to Google Gemini 3 Deep Think and Gemini Pro Mode- Use….md	3	claude-mastery|product-management	idea		00_inbox/	HIGH	I have access to Google Gemini 3 Deep Think and Gemini Pro Mode. Use…
I have access to Kling AI (https---docs-qingque-cn-d-home-eZQDvlYrDMyE9lOforCeWA4KP….md	3	creative-studio|claude-mastery	creative-writing		40_knowledge/concepts/	HIGH	I have access to Kling AI (https://docs.qingque.cn/d/home/eZQDvlYrDMyE9lOforCeWA4KP…
I have an idea for an app that I want to create- I want it to take….md	3	life-systems	reference		40_knowledge/references/	HIGH	I have an idea for an app that I want to create. I want it to take…
I have an idea for my AI Product Manager website-portfolio- I'm currently….md	8	creative-studio|product-management|design-team	reference		40_knowledge/references/	HIGH	I have an idea for my AI Product Manager website/portfolio. I'm currently…
I have to fill out these fields for my companies website- The company….md	17	product-management	idea		00_inbox/	HIGH	I have to fill out these fields for my companies website. The company…
I know you look through the completed tickets for the -Things we've….md	4	product-management	project-material		40_knowledge/references/	MEDIUM	"I know you look through the completed tickets for the ""Things we've…"
I like to write sketch comedy, so I was thinking about random funny….md	12	creative-studio	personal		60_archive/apple-notes-personal/	HIGH	I like to write sketch comedy, so I was thinking about random funny…
I need extremely detailed step by step instructions on how to import….md	15	design-team|creative-studio	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	I need extremely detailed step by step instructions on how to import…
I need to refactor three components in The Block website mockup to….md	82	product-management|design-team|creative-studio	project-material	campus-201	20_projects/prj-campus-201/	HIGH	I need to refactor three components in The Block website mockup to…
I need you to create a comprehensive, unified implementation master….md	175	creative-studio|design-team|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	I need you to create a comprehensive, unified implementation master…
I need your help writing up a Jira ticket sub-task- Here’s the original….md	6	product-management|design-team|life-systems	idea		00_inbox/	HIGH	I need your help writing up a Jira ticket sub-task. Here’s the original…
I paid $625 for deposit-tip.md	11	unclassified	financial		50_sources/finance/	MEDIUM	I paid $625 for deposit/tip
I see the issue - the Claude Desktop configuration file is outside….md	39	claude-mastery|life-systems|creative-studio	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	I see the issue - the Claude Desktop configuration file is outside…
I tested Codex and it was able to work on PR 3 successfully- Here’s….md	8	design-team	ai-prompt		60_archive/apple-notes-prompts/	MEDIUM	I tested Codex and it was able to work on PR 3 successfully. Here’s…
I want to create a landing page for my AI product management website….md	15	product-management	unknown		40_knowledge/references/	MEDIUM	I want to create a landing page for my AI product management website…
I want to create a mockup of a website that would work well for the….md	15	product-management|creative-studio|life-systems	reference	campus-201	20_projects/prj-campus-201/	HIGH	I want to create a mockup of a website that would work well for the…
I want to recreate the Home Screen- Create a retro pixel-art home….md	6	creative-studio|life-systems|design-team	project-material	16bitfit	20_projects/prj-16bitfit/	MEDIUM	I want to recreate the Home Screen. Create a retro pixel-art home…
I want to start focusing on the UX-UI of this project- I have wireframes….md	90	claude-mastery|creative-studio|design-team	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	I want to start focusing on the UX/UI of this project. I have wireframes…
I was able to generate all the files through the ChatGPT 5 Pro and….md	3	product-management|claude-mastery	reference		40_knowledge/references/	HIGH	I was able to generate all the files through the ChatGPT 5 Pro and…
I will do a test run tomorrow to see if we want to make any tweaks….md	44	product-management	unknown		40_knowledge/references/	MEDIUM	I will do a test run tomorrow to see if we want to make any tweaks…
I'd like to dig into the Remotion MCP and how to utilize it with the….md	4	claude-mastery|creative-studio|product-management	reference		40_knowledge/references/	HIGH	I'd like to dig into the Remotion MCP and how to utilize it with the…
I'd like to learn more about AI Evaluations- There's a class taught….md	3	life-systems|product-management	reference		40_knowledge/references/	HIGH	I'd like to learn more about AI Evaluations. There's a class taught…
I'd like you to help me create a database within notion so I can track….md	12	claude-mastery	ai-prompt	campus-201	20_projects/prj-campus-201/	HIGH	I'd like you to help me create a database within notion so I can track…
I'm Sean Winslow- A creative professional from New York, transitioning….md	8	creative-studio|product-management	idea		00_inbox/	MEDIUM	I'm Sean Winslow. A creative professional from New York, transitioning…
I'm Sean, an Associate Product Manager at The Block (crypto news & research….md	95	product-management|life-systems|claude-mastery	idea	campus-201	20_projects/prj-campus-201/	HIGH	I'm Sean, an Associate Product Manager at The Block (crypto news & research…
I'm building 16BitFit, a fitness RPG mobile game with Game Boy aesthetics….md	166	claude-mastery|creative-studio|product-management	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	I'm building 16BitFit, a fitness RPG mobile game with Game Boy aesthetics…
I'm developing 16BitFit, a React Native + Phaser 3 fitness gaming….md	60	creative-studio|claude-mastery|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	I'm developing 16BitFit, a React Native + Phaser 3 fitness gaming…
I'm going to start generating different screen builds in this order….md	10	life-systems|creative-studio	project-material		40_knowledge/references/	MEDIUM	I'm going to start generating different screen builds in this order…
I'm looking to create a mobile app that allows me to deploy AI agents….md	194	claude-mastery|design-team|life-systems	code-snippet		40_knowledge/references/	HIGH	I'm looking to create a mobile app that allows me to deploy AI agents…
I'm not sure if revenue knows what they want-need.md	11	product-management	list		50_sources/data/	MEDIUM	I'm not sure if revenue knows what they want/need
I'm specifically looking for hardware (Computers, computer office….md	4	life-systems	project-material		40_knowledge/references/	MEDIUM	I'm specifically looking for hardware (Computers, computer office…
I'm testing Perplexity Max's Model Council feature, which runs a query….md	10	life-systems	reference		40_knowledge/references/	HIGH	I'm testing Perplexity Max's Model Council feature, which runs a query…
I'm thinking about incorporating unity into my gameplay as a hyrbrid….md	85	creative-studio|claude-mastery|life-systems	ai-prompt	16bitfit	20_projects/prj-16bitfit/	HIGH	I'm thinking about incorporating unity into my gameplay as a hyrbrid…
I'm trying to create a montage similar to the intro to the Pixar Film….md	5	creative-studio	personal		60_archive/apple-notes-personal/	HIGH	I'm trying to create a montage similar to the intro to the Pixar Film…
I'm trying to remove the sub-agents that are hard coded within Claude….md	3	claude-mastery|creative-studio	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	I'm trying to remove the sub-agents that are hard coded within Claude…
I've added all of my updated documents for this project- I need help….md	94	creative-studio|claude-mastery|product-management	project-material		40_knowledge/references/	HIGH	I've added all of my updated documents for this project. I need help…
I've been working on this 16Bitfit app, but I'm updating it- I've….md	1362	claude-mastery|creative-studio|product-management	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	I've been working on this 16Bitfit app, but I'm updating it. I've…
I've built out a notebook within NotebookLM called Claude Code….md	197	vault|claude-mastery|life-systems	reference	personal-finance	20_projects/prj-personal-finance/	HIGH	I've built out a notebook within NotebookLM called Claude Code…
I've created a Gemini GEM that allows me to create Claude SKILLS based….md	14	claude-mastery|creative-studio|life-systems	project-material	superuser-pack	20_projects/prj-superuser-pack/	HIGH	I've created a Gemini GEM that allows me to create Claude SKILLS based…
I've finalized the plan with-.md	201	creative-studio|claude-mastery|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	I've finalized the plan with:
I've given Gemini all of the documents you suggested- Please help….md	3	claude-mastery|product-management	idea		00_inbox/	HIGH	I've given Gemini all of the documents you suggested. Please help…
I've reviewed 14 customer success interview assignments in the past….md	22	life-systems	reference		40_knowledge/references/	HIGH	I've reviewed 14 customer success interview assignments in the past…
I've successfully implemented the core combat system for your 2D.md	41	creative-studio|life-systems	project-material		40_knowledge/references/	HIGH	I've successfully implemented the core combat system for your 2D
IDEAS TO NAIL SPRITE SHEETS.md	6	creative-studio	ai-prompt		40_knowledge/references/	HIGH	IDEAS TO NAIL SPRITE SHEETS
IMPLEMENTATION-ROADMAP-md UPDATED - SUMMARY.md	126	claude-mastery|creative-studio|product-management	project-material		40_knowledge/references/	HIGH	IMPLEMENTATION-ROADMAP.md UPDATED - SUMMARY
IMPORTANT CURSOR NOTE.md	5	unclassified	reference	campus-201	20_projects/prj-campus-201/	MEDIUM	IMPORTANT CURSOR NOTE
INCOMPLETE PROJECTS -.md	6	unclassified	reference		40_knowledge/references/	MEDIUM	INCOMPLETE PROJECTS -
INGESTED & Reconnected 5-6-21-.md	6	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	INGESTED & Reconnected 5/6/21:
INGESTED 5-20-2021.md	10	life-systems	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	INGESTED 5/20/2021
INGESTED-.md	20	life-systems	work-nyl		60_archive/apple-notes-nyl/	HIGH	INGESTED:
INGESTING RAW PHOTOS.md	5	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	INGESTING RAW PHOTOS
Idea for fighting characters.md	10	unclassified	idea		00_inbox/	MEDIUM	Idea for fighting characters
Ideas for talking about having a more AI research focused role at….md	7	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Ideas for talking about having a more AI research focused role at…
Important Clarification on What I Can vs Can't Do.md	13	claude-mastery|product-management	unknown		40_knowledge/references/	MEDIUM	Important Clarification on What I Can vs Can't Do
Importing Contacts And Understanding Contact-Company Properties.md	22	product-management|life-systems	personal		60_archive/apple-notes-personal/	MEDIUM	Importing Contacts And Understanding Contact/Company Properties
In Reach, but doesn’t show up when following the file path -.md	9	unclassified	personal		60_archive/apple-notes-personal/	MEDIUM	In Reach, but doesn’t show up when following the file path :
In the music section of the ChatGPT conversation, we left off at “Bass….md	3	life-systems	unknown		00_inbox/	MEDIUM	In the music section of the ChatGPT conversation, we left off at “Bass…
In this video I break down my top 7 -non-negotiable- Claude Skills….md	13	claude-mastery|product-management	reference		40_knowledge/references/	HIGH	"In this video I break down my top 7 ""non-negotiable"" Claude Skills…"
Inbound - instead of outbound- Figuring out what the issue is before….md	93	life-systems	project-material		40_knowledge/references/	MEDIUM	Inbound - instead of outbound. Figuring out what the issue is before…
Include a PRD that covers problem statement, target audience, goals….md	40	product-management|claude-mastery	project-material		40_knowledge/references/	HIGH	Include a PRD that covers problem statement, target audience, goals…
Index Delay - Because of the migration -.md	5	unclassified	unknown		00_inbox/	LOW	Index Delay - Because of the migration -
Ingest ambient and placeholders as masters.md	4	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Ingest ambient and placeholders as masters
Install Gemini CLI.md	22	product-management|claude-mastery|creative-studio	idea	campus-201	20_projects/prj-campus-201/	HIGH	Install Gemini CLI
Installation Complete (automated….md	184	creative-studio|claude-mastery	unknown		40_knowledge/references/	MEDIUM	Installation Complete (automated…
Interface Info.md	3	unclassified	unknown		00_inbox/	LOW	Interface Info
Interviews 9-21-21.md	12	life-systems|claude-mastery	work-nyl		60_archive/apple-notes-nyl/	HIGH	Interviews 9/21/21
Intralinks Info.md	3	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Intralinks Info
It gave me an error- Please list out every single permission necessary….md	9	creative-studio	ai-session-output	16bitfit	20_projects/prj-16bitfit/	MEDIUM	It gave me an error. Please list out every single permission necessary…
It looks like you're using Claude Code through the web interface, not….md	31	claude-mastery|life-systems	personal		60_archive/apple-notes-personal/	HIGH	It looks like you're using Claude Code through the web interface, not…
It's look so much better! I want to address a few things and we should….md	12	creative-studio|claude-mastery|product-management	ai-prompt		40_knowledge/references/	HIGH	It's look so much better! I want to address a few things and we should…
It's time to create the bi-weekly Product & Engineering status update….md	11	product-management	ai-prompt		40_knowledge/references/	HIGH	It's time to create the bi-weekly Product & Engineering status update…
I’d like to brainstorm ideas on creating the Champion characters and….md	3	creative-studio|claude-mastery	idea		00_inbox/	HIGH	I’d like to brainstorm ideas on creating the Champion characters and…
I’d like to simplify the Home avatar animation cycles- Here’s what….md	6	creative-studio	reference		40_knowledge/references/	MEDIUM	I’d like to simplify the Home avatar animation cycles. Here’s what…
I’m creating an app that helps AI Pm's with their ideas- App idea….md	40	product-management|creative-studio|claude-mastery	idea		00_inbox/	HIGH	I’m creating an app that helps AI Pm's with their ideas. App idea…
I’m looking to create my own plug ins for Audacity- I love the way….md	114	claude-mastery|creative-studio|life-systems	personal		60_archive/apple-notes-personal/	HIGH	I’m looking to create my own plug ins for Audacity. I love the way…
I’ve attached 2 CSV files that contain the assets that I’ll be storing….md	42	creative-studio	reference	16bitfit	20_projects/prj-16bitfit/	MEDIUM	I’ve attached 2 CSV files that contain the assets that I’ll be storing…
I’ve attached the research I’ve been doing on creating AI Product….md	11	design-team|product-management|life-systems	reference		40_knowledge/references/	HIGH	I’ve attached the research I’ve been doing on creating AI Product…
I’ve created a new page within Sean Winslow AI Pm- Please help me….md	78	creative-studio|claude-mastery	idea		00_inbox/	HIGH	I’ve created a new page within Sean Winslow AI Pm. Please help me…
I’ve made it to the final stage of the interview process for a Customer….md	5	life-systems	reference		40_knowledge/references/	MEDIUM	I’ve made it to the final stage of the interview process for a Customer…
I’ve taken a sketch class at Upright Citizens Brigade and I’ve written….md	4	creative-studio	personal		60_archive/apple-notes-personal/	MEDIUM	I’ve taken a sketch class at Upright Citizens Brigade and I’ve written…
JADE.md	30	life-systems|claude-mastery|creative-studio	reference		40_knowledge/references/	HIGH	4 interviews
JIMMY AND D’s WEDDING VIDEO BLOOPERS.md	5	unclassified	personal		60_archive/apple-notes-personal/	MEDIUM	JIMMY AND D’s WEDDING VIDEO BLOOPERS
JIMMYS WEDDING VIDEO.md	5	unclassified	personal		60_archive/apple-notes-personal/	MEDIUM	JIMMYS WEDDING VIDEO
Jim Adkins - Greater Washington GO.md	4	life-systems	unknown	boston-move	20_projects/prj-boston-move/	MEDIUM	Jim Adkins - Greater Washington GO
Job board - the sponsored courses have 4 within the desktop view, and….md	7	product-management	project-material	campus-201	20_projects/prj-campus-201/	HIGH	Job board - the sponsored courses have 4 within the desktop view, and…
Judge DeVilbiss.md	3	unclassified	unknown		00_inbox/	LOW	Judge DeVilbiss
KEEP STALLING.md	6	unclassified	unknown		00_inbox/	LOW	KEEP STALLING
KG - content governance lane -.md	5	unclassified	project-material		40_knowledge/references/	MEDIUM	KG - content governance lane -
Kale.md	5	unclassified	unknown		00_inbox/	LOW	Spinach
Karin Partin Wells (She-Her) to Everyone (6-26 PM).md	11	life-systems	creative-writing		40_knowledge/concepts/	MEDIUM	Karin Partin Wells (She/Her) to Everyone (6:26 PM)
Keep it, but add these tweaks.md	42	creative-studio|claude-mastery|life-systems	reference		40_knowledge/references/	HIGH	Keep it, but add these tweaks
Kid Samurai Story Beats For Storyboard.md	27	creative-studio	personal		60_archive/apple-notes-personal/	MEDIUM	Kid Samurai Story Beats For Storyboard
Kortex - NotebookLM extension.md	4	claude-mastery|creative-studio	reference		40_knowledge/references/	HIGH	Kortex - NotebookLM extension
L4L background.md	4	unclassified	unknown		00_inbox/	LOW	L4L background
LEARN PAGE DATA.md	23	product-management	project-material		40_knowledge/references/	MEDIUM	LEARN PAGE DATA
LOF New Version.md	15	life-systems	creative-writing		40_knowledge/concepts/	MEDIUM	LOF New Version
LOGIN-.md	4	unclassified	unknown		00_inbox/	LOW	LOGIN:
LOGLINE-.md	6	unclassified	creative-writing		40_knowledge/concepts/	MEDIUM	LOGLINE:
LOOKER PAGES.md	15	product-management	reference		40_knowledge/references/	HIGH	LOOKER PAGES
LYNDA INFO-.md	4	unclassified	unknown		00_inbox/	LOW	LYNDA INFO:
Langfuse Install.md	17	unclassified	code-snippet		40_knowledge/references/	MEDIUM	Langfuse Install
Last login- Thu Nov 20 20-11-59 on ttys010.md	78	life-systems	unknown		00_inbox/	MEDIUM	Last login: Thu Nov 20 20:11:59 on ttys010
Learn quickly.md	5	unclassified	unknown		00_inbox/	LOW	Learn quickly
Let me help you craft a logline that captures both the humor and irony….md	11	creative-studio|life-systems	creative-writing		40_knowledge/concepts/	MEDIUM	Let me help you craft a logline that captures both the humor and irony…
Let's begin implementing The Block website mockup improvements- Start….md	74	product-management|creative-studio|claude-mastery	project-material	campus-201	20_projects/prj-campus-201/	HIGH	Let's begin implementing The Block website mockup improvements. Start…
Let's work on all of the file level to-do's- Please give me a zip….md	3	creative-studio|design-team	ai-prompt		60_archive/apple-notes-prompts/	MEDIUM	Let's work on all of the file level to-do's. Please give me a zip…
Little snitch - virus protection.md	4	life-systems	unknown		00_inbox/	MEDIUM	Little snitch - virus protection
Look at Transplant story and see what the right project file is.md	5	unclassified	unknown		00_inbox/	LOW	Look at Transplant story and see what the right project file is
Look into upscayle- free ai upscaler to download.md	7	claude-mastery|life-systems	unknown		40_knowledge/references/	MEDIUM	Look into upscayle- free ai upscaler to download
Look into weavy, comfy up, and n8n workflows for the apps onboarding….md	4	claude-mastery|creative-studio	ai-prompt	16bitfit	20_projects/prj-16bitfit/	MEDIUM	Look into weavy, comfy up, and n8n workflows for the apps onboarding…
Look into “warp” - a CLI app that AI labs uses.md	22	creative-studio|design-team|claude-mastery	project-material		40_knowledge/references/	HIGH	Look into “warp” - a CLI app that AI labs uses
Look through other peoples Claude rules- Take that and develop your….md	10	creative-studio|claude-mastery|life-systems	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	Look through other peoples Claude rules. Take that and develop your…
Look up companies using Gemini.md	3	claude-mastery	unknown		40_knowledge/references/	MEDIUM	Look up companies using Gemini
Looking at the research documents and comparing the current Block….md	768	product-management|creative-studio|life-systems	reference	campus-201	20_projects/prj-campus-201/	HIGH	Looking at the research documents and comparing the current Block…
M3840x2160 uhd.md	4	claude-mastery	code-snippet		40_knowledge/references/	MEDIUM	M3840x2160 uhd
MCP to add.md	3	unclassified	unknown		00_inbox/	LOW	MCP to add
MIGHT HAVE TO PIVOT BACK TO PHASER FOR THIS.md	104	creative-studio|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	MIGHT HAVE TO PIVOT BACK TO PHASER FOR THIS
MISSING FROM 21-3378_WM_Small_Business_Owner_eCard_BR_210729-aep.md	5	life-systems	unknown		00_inbox/	MEDIUM	MISSING FROM 21-3378_WM_Small_Business_Owner_eCard_BR_210729.aep
